BGP table version is 16188164, local router ID is 217.192.89.52
Status codes: s suppressed, d damped, h history, * valid, > best, i - internal, 
              r RIB-failure, S Stale, m multipath, b backup-path, f RT-Filter, 
              x best-external, a additional-path, c RIB-compressed, 
Origin codes: i - IGP, e - EGP, ? - incomplete
RPKI validation codes: V valid, I invalid, N Not found

     Network          Next Hop            Metric LocPrf Weight Path
 *>  0.0.0.0/8        192.168.1.1              0    300      0 (65000 65098) i
 *   1.1.117.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.118.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.119.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.120.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.121.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.122.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.123.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.124.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.125.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.126.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.127.0/24     138.187.128.15      650000    300      0 (65000) 174 2519 i
 *   1.1.128.0/21     138.187.128.3       550000    300      0 (65000) 6762 38040 23969 ?
 *   1.1.128.0/19     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.1.128.0/18     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.1.128.0/17     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.1.140.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.1.141.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.1.144.0/22     138.187.128.3       550000    300      0 (65000) 6762 38040 23969 ?
 *   1.1.148.0/22     138.187.128.3       550000    300      0 (65000) 6762 38040 23969 ?
 *   1.1.152.0/21     138.187.128.3       550000    300      0 (65000) 6762 38040 23969 ?
 *   1.1.160.0/20     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.1.160.0/19     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.1.176.0/22     138.187.128.3       550000    300      0 (65000) 6762 38040 23969 ?
 *   1.1.180.0/22     138.187.128.3       550000    300      0 (65000) 6762 38040 23969 ?
 *   1.1.184.0/22     138.187.128.3       550000    300      0 (65000) 6762 38040 23969 ?
 *   1.1.188.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.1.189.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.1.190.0/23     138.187.128.3       550000    300      0 (65000) 6762 38040 23969 ?
 *   1.1.192.0/21     138.187.128.3       550000    300      0 (65000) 6762 38040 23969 ?
 *   1.1.192.0/19     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.1.192.0/18     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.1.200.0/21     138.187.128.3       550000    300      0 (65000) 6762 38040 23969 ?
 *   1.1.208.0/21     138.187.128.3       550000    300      0 (65000) 6762 38040 23969 ?
 *   1.1.220.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.1.221.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.1.222.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.1.223.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.1.224.0/21     138.187.128.3       550000    300      0 (65000) 6762 38040 23969 ?
 *   1.1.224.0/19     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.1.232.0/21     138.187.128.3       550000    300      0 (65000) 6762 38040 23969 ?
 *   1.1.248.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.1.249.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.1.250.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.1.251.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.1.252.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.1.253.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.1.254.0/23     138.187.128.3       550000    300      0 (65000) 6762 38040 23969 ?
 *   1.2.4.0/24       138.187.128.35      550000    300      0 (65000) 6453 4641 24151 i
 *   1.2.11.0/24      138.187.128.71      550100    300      0 (65000) 4637 18046 i
 *   1.2.128.0/20     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.2.128.0/18     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.2.128.0/17     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.2.144.0/20     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.2.162.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.2.163.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.2.164.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.2.165.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.2.166.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.2.167.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.2.168.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.2.169.0/24     138.187.128.71      550000    300      0 (65000) 4651 23969 ?
 *   1.2.171.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.2.172.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.2.173.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.2.176.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.2.178.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.2.179.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.2.180.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.2.181.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.2.182.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.2.183.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.2.184.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.2.185.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.2.186.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.2.187.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.2.188.0/23     138.187.128.3       550000    300      0 (65000) 6762 38040 23969 ?
 *   1.2.190.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.2.191.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.2.192.0/20     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.2.192.0/18     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.2.224.0/21     138.187.128.3       550000    300      0 (65000) 6762 38040 23969 ?
 *   1.2.232.0/22     138.187.128.3       550000    300      0 (65000) 6762 38040 23969 ?
 *   1.2.236.0/23     138.187.128.3       550000    300      0 (65000) 6762 38040 23969 ?
 *   1.2.238.0/24     138.187.128.71      550000    300      0 (65000) 4651 23969 ?
 *   1.2.239.0/24     138.187.128.15      650000    300      0 (65000) 174 38040 23969 ?
 *   1.2.240.0/21     138.187.128.3       550000    300      0 (65000) 6762 38040 23969 ?
 *   1.2.248.0/22     138.187.128.3       550000    300      0 (65000) 6762 38040 23969 ?
 *   1.2.254.0/23     138.187.128.3       550000    300      0 (65000) 6762 38040 23969 ?
 *   1.3.33.0/24      138.187.128.3       550000    300      0 (65000) 3491 133741 i
 *   1.3.34.0/24      138.187.128.3       550000    300      0 (65000) 3491 133741 i
 *   1.3.101.0/24     138.187.128.71      550100    300      0 (65000) 4637 133948 i
 *   1.4.128.0/21     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.4.128.0/19     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.4.128.0/18     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.4.128.0/17     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.4.136.0/22     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.4.140.0/23     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.4.142.0/23     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.4.152.0/22     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.4.156.0/24     138.187.128.3       550000    300      0 (65000) 3491 38040 23969 ?
 *   1.4.157.0/24     138.187.128.71      550000    300      0 (65000) 4651 23969 ?
 *   1.4.158.0/24     138.187.128.3       550000    300      0 (65000) 3491 38040 23969 ?
 *   1.4.159.0/24     138.187.128.3       550000    300      0 (65000) 3491 38040 23969 ?
 *   1.4.160.0/20     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.4.176.0/20     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.4.192.0/22     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.4.192.0/19     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.4.192.0/18     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.4.196.0/24     138.187.128.3       550000    300      0 (65000) 3491 38040 23969 ?
 *   1.4.197.0/24     138.187.128.3       550000    300      0 (65000) 3491 38040 23969 ?
 *   1.4.198.0/24     138.187.128.71      550000    300      0 (65000) 4651 23969 ?
 *   1.4.200.0/22     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.4.204.0/24     138.187.128.3       550000    300      0 (65000) 3491 38040 23969 ?
 *   1.4.206.0/24     138.187.128.3       550000    300      0 (65000) 3491 38040 23969 ?
 *   1.4.207.0/24     138.187.128.3       550000    300      0 (65000) 3491 38040 23969 ?
 *   1.4.208.0/23     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.4.210.0/23     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.4.216.0/24     138.187.128.3       550000    300      0 (65000) 3491 38040 23969 ?
 *   1.4.217.0/24     138.187.128.3       550000    300      0 (65000) 3491 38040 23969 ?
 *   1.4.218.0/23     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.4.220.0/22     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.4.224.0/20     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.4.240.0/21     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.4.248.0/23     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.4.250.0/23     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
